type,category,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
fuel,Biomass,,,,,,,,196.1,203.4,189.6,179.6,169.3,173.6,170.6,177.2
fuel,wood and other b,,,,,,,,93.9,93.1,89.4,88.2,85.5,85.7,86.2,84.9
fuel,bagasse,,,,,,,,102.2,110.3,100.2,91.3,83.8,88.0,84.4,92.3
fuel,Municpal and industrial waste,,,,,,,,2.5,4.8,4.8,4.6,4.0,4.6,4.7,4.6
fuel,Biogas,,,,,,,,15.8,15.3,16.1,16.3,16.7,17.6,18.5,18.0
fuel,landfill gas,,,,,,,,14.7,11.8,12.2,12.3,12.6,13.2,13.9,13.5
fuel,other biogas,,,,,,,,1.1,3.6,3.9,4.0,4.0,4.4,4.6,4.6
fuel,Biofuels,,,,,,,,7.2,6.8,7.2,7.4,6.6,6.3,6.1,6.2
fuel,ethanol,,,,,,,,5.3,5.5,6.0,6.1,5.4,4.9,4.8,5.0
fuel,biodiesel,,,,,,,,0.2,0.2,0.0,0.0,0.1,0.1,0.2,0.0
fuel,other liquid biofuels,,,,,,,,1.7,1.1,1.1,1.3,1.1,1.2,1.2,1.2
fuel,Wind power,,,,,,,,43.9,45.3,54.6,63.8,73.4,88.3,104.8,113.0
fuel,Hydro power,,,,,,,,55.1,58.6,57.7,57.5,54.5,54.7,61.2,60.0
fuel,Solar PV,,,,,,,,24.6,29.1,35.7,53.5,75.7,99.8,124.9,151.1
fuel,Solar hot water,,,,,,,,14.9,15.8,16.7,17.6,18.5,19.7,21.3,23.5
industry,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry,Mining,0.2,0.8,1.0,1.3,1.7,2.6,3.2,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0
industry,Manufacturing,76.4,108.6,106.2,106.0,121.7,114.4,125.2,124.4,134.6,121.0,113.3,105.9,110.6,109.8,115.5
industry,Electricity generation a,90.6,99.2,113.1,111.4,132.8,151.1,145.7,164.7,173.2,189.6,214.8,241.2,280.7,327.6,359.7
industry,Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
industry,Transport,5.7,7.4,8.7,8.5,9.2,8.5,6.4,5.9,5.7,6.2,6.3,5.5,5.2,5.0,5.1
industry,Gas supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry,Water and waste b,0.3,0.3,0.8,1.2,1.5,1.8,1.7,0.5,0.6,0.5,0.4,0.3,0.8,0.9,0.8
industry,Commercial and services c,0.6,0.6,0.7,0.7,1.0,1.2,1.3,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.8
industry,Residential,66.2,65.7,64.1,64.8,65.6,64.6,64.3,63.7,64.1,64.4,64.7,65.1,66.7,68.0,71.5
